Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
100,0.240740,0.242002,0.568465,0.559196,1.348808,1.353913,0.230123,0.207516
200,0.237171,0.239697,0.572614,0.559553,1.332435,1.343014,0.226749,0.203269
300,0.237114,0.239718,0.568465,0.558651,1.332184,1.343069,0.227222,0.203129
400,0.237072,0.239702,0.570539,0.558630,1.331997,1.342984,0.227593,0.203307
500,0.237038,0.239688,0.568465,0.558714,1.331846,1.342910,0.227886,0.203461
600,0.237010,0.239676,0.570539,0.559196,1.331721,1.342850,0.228128,0.203585
700,0.236986,0.239668,0.570539,0.559469,1.331614,1.342802,0.228335,0.203685
800,0.241076,0.243113,0.562241,0.575423,1.348269,1.357387,0.195990,0.179102
900,0.236968,0.239661,0.570539,0.559070,1.331538,1.342773,0.228488,0.203757
1000,0.237795,0.240207,0.574689,0.562471,1.334751,1.345054,0.220975,0.199171
1100,0.236978,0.239646,0.568465,0.558903,1.331510,1.342686,0.228379,0.203937
1200,0.237093,0.239703,0.572614,0.558504,1.331936,1.342920,0.227324,0.203449
1300,0.237034,0.239685,0.564315,0.558042,1.331689,1.342830,0.227840,0.203643
1400,0.236995,0.239671,0.566390,0.558084,1.331532,1.342767,0.228196,0.203768
1500,0.236994,0.239684,0.566390,0.557811,1.331512,1.342809,0.228185,0.203681
1600,0.236937,0.239665,0.564315,0.557916,1.331277,1.342722,0.228704,0.203853
1700,0.236915,0.239669,0.564315,0.557580,1.331172,1.342724,0.228890,0.203842
1800,0.236862,0.239658,0.568465,0.558084,1.330946,1.342665,0.229363,0.203949
1900,0.236817,0.239655,0.566390,0.557979,1.330741,1.342632,0.229763,0.203999
2000,0.236758,0.239648,0.568465,0.558315,1.330478,1.342581,0.230284,0.204078
2100,0.236687,0.239641,0.574689,0.558588,1.330161,1.342519,0.230910,0.204169
2200,0.236608,0.239634,0.570539,0.557685,1.329800,1.342450,0.231601,0.204258
2300,0.236510,0.239624,0.564315,0.557496,1.329351,1.342361,0.232465,0.204372
2400,0.236397,0.239614,0.564315,0.558168,1.328824,1.342256,0.233462,0.204493
2500,0.236266,0.239604,0.568465,0.558966,1.328205,1.342132,0.234611,0.204621
2600,0.236115,0.239595,0.566390,0.560729,1.327484,1.341991,0.235929,0.204746
2700,0.235946,0.239587,0.568465,0.562408,1.326662,1.341830,0.237395,0.204868
2800,0.235760,0.239573,0.570539,0.563227,1.325719,1.341605,0.239007,0.205057
2900,0.235548,0.239541,0.576763,0.564360,1.324608,1.341256,0.240823,0.205418
3000,0.235305,0.239489,0.574689,0.565284,1.323300,1.340768,0.242895,0.205964
3100,0.235025,0.239411,0.578838,0.566229,1.321762,1.340112,0.245271,0.206735
3200,0.234699,0.239298,0.587137,0.567551,1.319945,1.339231,0.248021,0.207826
3300,0.234313,0.239134,0.587137,0.568559,1.317777,1.338046,0.251242,0.209365
3400,0.233850,0.238899,0.587137,0.569482,1.315165,1.336461,0.255077,0.211522
3500,0.233281,0.238567,0.585062,0.569986,1.311988,1.334360,0.259744,0.214513
3600,0.232560,0.238104,0.591286,0.569021,1.308090,1.331617,0.265607,0.218625
3700,0.231620,0.237451,0.589212,0.562807,1.303306,1.328079,0.273198,0.224310
3800,0.230430,0.236519,0.578838,0.550611,1.297630,1.323515,0.282679,0.232282
3900,0.232488,0.239345,0.564315,0.544481,1.306751,1.335927,0.264869,0.214304
4000,0.230589,0.237629,0.589212,0.561149,1.297793,1.327893,0.278709,0.226585
4100,0.229749,0.236969,0.597510,0.573933,1.293552,1.324637,0.284685,0.232310
4200,0.229015,0.236375,0.609959,0.582077,1.289820,1.321749,0.289803,0.237406
4300,0.228345,0.235813,0.614108,0.584638,1.286425,1.319084,0.294407,0.242048
4400,0.227745,0.235301,0.609959,0.581846,1.283392,1.316708,0.298480,0.246167
4500,0.227211,0.234842,0.593361,0.575255,1.280707,1.314630,0.302060,0.249775
4600,0.226738,0.234433,0.585062,0.567992,1.278329,1.312828,0.305213,0.252924
4700,0.226315,0.234068,0.585062,0.558882,1.276211,1.311263,0.308010,0.255684
4800,0.225932,0.233739,0.578838,0.552752,1.274302,1.309886,0.310523,0.258133
4900,0.225582,0.233437,0.562241,0.548008,1.272555,1.308647,0.312819,0.260342
5000,0.225256,0.233152,0.564315,0.547399,1.270931,1.307500,0.314952,0.262373
5100,0.224952,0.232883,0.574689,0.549099,1.269414,1.306414,0.316944,0.264256
5200,0.224679,0.232640,0.585062,0.554788,1.268033,1.305440,0.318737,0.265922
5300,0.224447,0.232475,0.595436,0.562450,1.266846,1.304825,0.320234,0.267106
5400,0.224214,0.232416,0.601660,0.565263,1.265694,1.304749,0.321678,0.267704
5500,0.223928,0.232427,0.607884,0.564087,1.264338,1.305049,0.323461,0.267880
5600,0.223530,0.232539,0.603734,0.560939,1.262557,1.305859,0.325972,0.267409
5700,0.222921,0.232791,0.593361,0.556111,1.259874,1.307362,0.329854,0.266122
5800,0.222005,0.233052,0.574689,0.548491,1.255568,1.308925,0.335673,0.264965
5900,0.220806,0.232985,0.568465,0.540619,1.249394,1.308804,0.343149,0.266020
6000,0.219403,0.232488,0.560166,0.532768,1.241797,1.306365,0.351592,0.269885
6100,0.217841,0.231783,0.539419,0.526659,1.233314,1.302872,0.360623,0.275119
6200,0.218949,0.232277,0.560166,0.535392,1.234716,1.303017,0.352553,0.273707
6300,0.217343,0.231306,0.556017,0.539758,1.225907,1.298278,0.361566,0.280636
6400,0.216189,0.230359,0.566390,0.542928,1.219090,1.293392,0.367850,0.287179
6500,0.215232,0.229326,0.570539,0.542550,1.213151,1.287843,0.372972,0.294014
6600,0.214376,0.228184,0.578838,0.544607,1.207593,1.281424,0.377509,0.301339
6700,0.213451,0.226789,0.578838,0.549183,1.201586,1.273356,0.382362,0.309996
6800,0.212146,0.224671,0.593361,0.566753,1.193907,1.261398,0.389124,0.322505
6900,0.209825,0.221447,0.585062,0.566565,1.182656,1.244615,0.400891,0.340488
7000,0.206681,0.218451,0.607884,0.582938,1.169352,1.232054,0.416377,0.356998
7100,0.203640,0.216600,0.618257,0.582497,1.158483,1.227380,0.430734,0.367793
7200,0.201663,0.215572,0.655602,0.612032,1.152948,1.226354,0.439751,0.374232
7300,0.198853,0.213015,0.670124,0.630736,1.141986,1.215599,0.452485,0.386787
7400,0.194748,0.209313,0.676349,0.640518,1.122826,1.197207,0.470794,0.404387
7500,0.191137,0.206398,0.682573,0.645430,1.105787,1.182549,0.486450,0.418127
7600,0.188105,0.204439,0.690871,0.642827,1.091241,1.172154,0.499119,0.427300
7700,0.185826,0.203395,0.686722,0.643100,1.080711,1.166832,0.508226,0.432248
7800,0.184220,0.202360,0.707469,0.666611,1.075365,1.164531,0.514488,0.437042
7900,0.180177,0.197988,0.738589,0.693690,1.058073,1.144309,0.531116,0.456173
8000,0.174867,0.193623,0.761411,0.709371,1.036970,1.126000,0.552022,0.474878
8100,0.168395,0.189478,0.769710,0.721042,1.012868,1.111493,0.576049,0.492025
8200,0.161546,0.185254,0.775934,0.731874,0.987424,1.097917,0.599735,0.508945
8300,0.150670,0.177013,0.796680,0.742726,0.942634,1.064933,0.636858,0.540334
8400,0.136256,0.166536,0.809129,0.757672,0.875192,1.021439,0.682291,0.577863
8500,0.132922,0.168055,0.838174,0.757735,0.869571,1.044295,0.692406,0.572622
8600,0.126025,0.159017,0.827801,0.774130,0.836002,1.005669,0.710278,0.603340
8700,0.128068,0.160837,0.823651,0.772115,0.843688,1.021022,0.700462,0.598471
8800,0.124501,0.157487,0.831950,0.777950,0.825914,1.007314,0.710250,0.609780
8900,0.125834,0.164220,0.838174,0.766426,0.840687,1.042777,0.708391,0.587947
9000,0.120058,0.158771,0.834025,0.775117,0.814403,1.018789,0.724488,0.605939
9100,0.111967,0.145396,0.846473,0.796570,0.765591,0.946789,0.746262,0.647303
9200,0.132739,0.161321,0.829876,0.781120,0.891966,1.053141,0.685404,0.604422
9300,0.118575,0.148542,0.846473,0.793673,0.790163,0.959637,0.725055,0.640382
9400,0.114171,0.145269,0.850622,0.798417,0.758593,0.937648,0.737233,0.649803
9500,0.110178,0.141350,0.856846,0.804190,0.733249,0.913027,0.748187,0.661080
9600,0.112652,0.144510,0.848548,0.794513,0.744729,0.924059,0.741730,0.651492
9700,0.113571,0.144994,0.846473,0.794597,0.749626,0.929138,0.739086,0.650464
9800,0.106135,0.143489,0.856846,0.800034,0.731128,0.939938,0.760366,0.654921
9900,0.107900,0.140783,0.848548,0.799404,0.714053,0.901444,0.754390,0.663113
10000,0.101594,0.132572,0.858921,0.813090,0.679697,0.852873,0.771109,0.686377
